"","Total","Positive"
"1",17,6
"2",68,27
"3",72,23
"4",101,42
"5",128,51
"6",108,33
"7",110,25
"8",92,31
"9",97,31
"10",124,59
"11",111,48
"12",112,35
"13",111,20
"14",101,12
"15",61,21
"16",111,31
"17",128,53
"18",24,10
"19",112,51
"20",174,53
"21",135,50
"22",120,54
"23",84,35
"24",117,56
"25",114,79
"26",110,76
"27",129,85
"28",111,79
"29",108,76
"30",101,55
"31",109,57
"32",114,98
"33",108,69
"34",108,80
"35",102,65
"36",103,58
"37",112,65
"38",118,76
"39",108,64
"40",138,72
"41",114,55
"42",111,65
"43",124,45
"44",102,37
"45",110,40
"46",126,53
"47",133,49
"48",133,42
"49",130,44
"50",118,34
"51",113,45
"52",64,22
"53",89,31
"54",141,53
"55",143,49
"56",139,48
"57",132,50
"58",119,29
"59",120,42
"60",114,41
"61",114,31
"62",126,32
"63",130,25
"64",126,32
"65",140,44
"66",84,15
"67",106,21
"68",125,33
"69",133,20
"70",106,26
"71",126,33
"72",103,36
"73",119,35
"74",102,37
"75",126,59
"76",128,64
"77",131,60
"78",121,60
"79",113,72
"80",118,76
"81",107,71
"82",113,74
"83",125,99
"84",129,94
"85",123,84
"86",125,95
"87",111,98
"88",117,93
"89",115,76
"90",111,68
"91",135,87
"92",126,82
"93",119,83
"94",123,77
"95",111,64
"96",128,53
"97",121,50
"98",119,31
"99",128,37
"100",124,36
"101",127,42
"102",115,49
"103",120,38
"104",107,35
"105",99,33
"106",125,37
"107",126,49
"108",139,31
"109",126,27
"110",112,33
"111",114,30
"112",121,29
"113",124,27
"114",124,38
"115",127,37
"116",125,38
"117",102,34
"118",115,30
"119",140,30
"120",129,16
"121",84,11
"122",108,29
"123",123,32
"124",132,28
"125",114,30
"126",121,39
"127",116,47
"128",124,52
"129",102,66
"130",121,64
"131",127,64
"132",119,63
"133",120,75
"134",133,49
"135",111,44
"136",128,71
"137",117,74
"138",117,72
"139",113,67
"140",123,76
"141",116,58
"142",106,49
"143",121,54
"144",127,62
"145",119,53
"146",120,51
"147",118,52
"148",123,57
"149",122,33
"150",109,24
"151",113,37
"152",133,58
"153",137,49
"154",122,32
"155",120,47
"156",113,39
"157",61,16
"158",92,20
"159",121,30
"160",128,36
"161",134,36
"162",113,29
"163",111,39
"164",109,28
"165",113,24
"166",97,15
"167",118,44
"168",127,28
"169",115,27
"170",114,20
"171",131,33
"172",72,9
"173",95,14
"174",121,17
"175",96,27
"176",105,16
"177",134,28
"178",93,30
"179",119,43
"180",78,23
"181",131,42
"182",121,51
"183",129,41
"184",124,60
"185",124,72
"186",125,97
"187",125,94
"188",115,94
"189",118,106
"190",115,85
"191",121,100
"192",129,106
"193",116,91
"194",116,86
"195",137,104
"196",126,70
"197",133,66
"198",128,56
"199",149,69
"200",131,60
"201",195,92
"202",250,78
"203",362,117
"204",404,90
"205",386,109
"206",317,102
"207",305,89
"208",232,98
"209",86,24
"210",100,18
"211",127,28
"212",125,41
"213",128,32
"214",128,31
"215",120,26
"216",127,50
"217",120,42
"218",151,45
"219",139,41
"220",124,36
"221",122,36
"222",75,15
"223",102,25
"224",129,39
"225",122,22
"226",104,9
"227",105,22
"228",93,10
"229",134,24
"230",116,38
"231",121,35
"232",106,47
"233",121,69
"234",125,75
"235",115,68
"236",133,72
"237",132,67
"238",139,93
"239",123,92
"240",135,97
"241",105,86
"242",128,91
"243",127,101
"244",123,85
"245",124,90
"246",124,92
"247",136,97
"248",123,82
"249",124,64
"250",127,66
"251",117,69
"252",115,53
"253",124,61
"254",123,45
"255",119,47
"256",72,29
"257",114,31
"258",109,22
"259",118,38
"260",108,23
"261",34,8
"262",71,17
"263",111,34
"264",126,27
"265",109,26
"266",117,32
"267",108,20
"268",110,16
"269",125,12
"270",101,28
"271",104,15
"272",119,16
"273",111,18
"274",106,14
"275",106,14
"276",121,18
"277",71,9
"278",93,12
"279",75,12
"280",100,11
"281",82,10
"282",101,16
"283",67,4
"284",85,6
"285",81,22
"286",107,55
"287",99,59
"288",106,48
"289",109,76
"290",100,53
"291",116,85
"292",108,90
"293",109,83
"294",115,84
"295",107,93
"296",102,78
"297",107,63
"298",116,78
"299",102,51
"300",101,69
"301",110,46
"302",110,33
"303",107,35
"304",109,22
"305",109,32
"306",98,40
"307",103,30
"308",112,30
"309",106,18
"310",105,20
"311",80,15
"312",111,20
"313",51,10
"314",70,9
"315",106,19
"316",116,34
"317",114,13
"318",102,17
"319",118,17
"320",99,22
"321",101,27
"322",98,34
"323",101,11
"324",93,4
"325",107,12
"326",115,19
"327",97,5
"328",62,4
"329",85,22
"330",109,12
"331",97,1
"332",85,11
"333",108,16
"334",93,10
"335",95,12
"336",86,23
"337",75,29
"338",105,40
"339",106,43
"340",105,34
"341",114,32
"342",103,25
"343",107,21
"344",105,41
"345",106,49
"346",102,57
"347",105,76
"348",78,49
"349",111,59
"350",103,73
"351",102,59
"352",101,60
"353",96,47
"354",98,37
"355",80,17
"356",107,19
"357",100,32
"358",106,29
"359",102,14
"360",100,13
"361",95,21
"362",93,6
"363",110,15
"364",100,19
"365",65,15
"366",43,11
"367",99,14
"368",104,9
"369",88,18
"370",98,7
"371",99,16
"372",99,23
"373",90,13
"374",103,4
"375",92,17
"376",96,15
"377",96,16
"378",74,5
"379",78,16
"380",93,17
"381",97,19
"382",80,2
"383",96,9
"384",80,7
"385",89,14
"386",103,10
"387",104,19
"388",90,20
"389",104,24
"390",105,47
"391",93,29
"392",103,37
"393",98,49
"394",100,47
"395",94,74
"396",97,64
"397",102,60
"398",91,58
"399",99,40
"400",105,52
"401",90,50
"402",96,61
"403",107,83
"404",90,35
"405",104,37
"406",94,50
"407",86,36
"408",70,30
"409",63,28
"410",57,25
"411",86,23
"412",76,22
"413",63,12
"414",79,4
"415",73,10
"416",63,14
"417",66,11
"418",51,11
"419",66,4
"420",64,9
"421",68,6
"422",47,8
"423",55,8
"424",50,8
"425",43,5
"426",54,5
"427",59,15
"428",63,6
"429",60,15
"430",65,6
"431",62,11
"432",58,9
"433",55,11
"434",47,7
"435",69,4
"436",52,6
"437",50,7
"438",64,7
"439",50,5
"440",65,7
"441",45,10
"442",53,9
"443",69,15
"444",63,21
"445",62,31
"446",57,36
"447",50,25
"448",45,35
"449",53,37
"450",61,39
"451",62,34
"452",68,50
"453",64,51
"454",55,27
"455",52,26
"456",58,27
"457",62,29
"458",61,20
"459",62,34
"460",54,29
"461",61,16
"462",56,14
"463",54,20
"464",68,19
"465",63,17
"466",53,20
"467",24,6
"468",28,4
"469",18,8
"470",9,4
"471",21,5
"472",21,6
"473",19,11
"474",29,7
"475",35,12
"476",57,12
"477",51,4
"478",45,7
"479",74,12
"480",57,8
"481",63,9
"482",51,7
"483",47,3
"484",29,3
"485",34,4
"486",61,2
"487",60,8
"488",34,2
"489",62,22
"490",40,10
"491",45,7
"492",45,8
"493",53,5
"494",58,7
"495",58,34
"496",59,33
"497",50,13
"498",41,26
"499",52,25
"500",58,37
"501",51,32
"502",57,30
"503",59,26
"504",52,36
"505",71,29
"506",54,10
"507",54,17
"508",56,15
"509",50,17
"510",61,21
"511",56,20
"512",57,14
"513",50,15
"514",58,7
"515",54,7
"516",65,5
"517",64,6
"518",56,5
"519",61,7
"520",58,7
"521",57,5
"522",19,2
"523",17,3
"524",26,4
"525",26,4
"526",26,2
"527",30,7
"528",35,4
"529",23,7
"530",32,5
"531",25,5
"532",28,2
"533",35,2
"534",18,3
"535",29,2
"536",26,6
"537",21,5
