"year"	"week"	"aveTemp"	"maxTemp"	"relHum"	"sunHours"	"precip"	"total"	"pos"	"R1total"	"R1pos"	"R2total"	"R2pos"	"R3total"	"R3pos"	"R4total"	"R4pos"	"R5total"	"R5pos"	"R6total"	"R6pos"	"R7total"	"R7pos"	"R8total"	"R8pos"
1998	1	4.3	7.2	93	3	28	16	6	2	0	7	4	2	0	0	0	3	0	1	1	0	0	0	0
1998	2	4.5	9.2	92	13	19	68	27	3	0	8	1	16	3	9	8	6	4	12	6	2	0	3	2
1998	3	4.7	8.1	91	9	17	72	24	6	1	0	0	14	6	12	5	14	1	1	0	6	4	5	2
1998	4	-1.1	4.1	84	18	8	99	41	7	3	4	1	27	21	13	0	12	9	7	2	3	0	3	1
1998	5	-1	4.9	73	28	2	125	50	12	6	23	16	20	10	8	3	19	4	9	2	2	1	10	5
1998	6	2.5	6.3	90	9	12	102	33	9	2	12	5	18	10	5	4	22	8	2	0	3	0	12	1
1998	7	6.6	10.1	94	3	25	103	25	10	0	12	0	21	11	7	5	13	1	5	0	6	1	8	0
1998	8	5.9	9.9	88	12	8	89	30	5	3	11	4	18	5	4	1	9	0	7	3	6	4	9	2
1998	9	5.1	10.3	84	17	10	91	31	16	5	17	8	19	5	9	4	1	0	6	0	1	0	6	4
1998	10	2	8.5	84	25	46	120	58	8	1	7	0	28	11	17	13	17	3	15	8	6	4	1	1
1998	11	2.2	8.8	69	39	2	106	45	9	4	4	1	22	14	13	3	11	7	8	4	1	0	9	3
1998	12	4.2	10.1	71	37	2	104	35	11	2	6	5	15	7	12	2	20	5	10	1	0	0	14	8
1998	13	5.3	13.1	68	39	6	111	20	9	3	21	11	26	0	7	1	26	3	3	0	3	0	4	0
1998	14	5.3	14.5	85	11	35	97	12	9	0	10	0	17	6	1	0	22	1	6	0	5	0	10	1
1998	15	5.1	10.5	85	11	9	60	21	3	1	16	4	11	4	3	1	2	1	3	1	3	3	9	0
1998	16	5.2	10.8	73	41	13	107	30	20	3	5	0	25	12	7	1	3	0	5	3	9	5	8	0
1998	17	9	14.6	81	31	13	125	52	8	3	17	5	30	16	17	2	10	4	2	0	5	1	4	1
1998	18	10.7	19.9	79	41	13	24	10	4	2	0	0	0	0	6	6	4	1	6	1	0	0	0	0
1998	19	11.3	21.9	73	54	11	109	49	6	4	5	4	21	9	14	6	22	11	13	3	4	4	5	1
1998	20	12.1	20	60	87	5	170	51	16	3	6	2	41	15	17	1	21	1	9	3	3	1	17	4
1998	21	10.6	19	66	71	2	129	48	5	3	17	11	19	6	8	4	31	2	8	3	1	0	17	11
1998	22	13.5	21.2	77	48	7	116	52	11	6	21	12	21	10	7	6	22	6	7	1	6	1	9	2
1998	23	13.3	19.9	75	44	12	83	35	12	4	6	0	17	7	2	2	7	4	5	4	8	2	12	5
1998	24	13	18.5	72	59	13	115	55	18	6	14	4	17	2	8	8	9	6	4	0	6	2	9	4
1998	25	13.9	23.8	68	57	12	111	77	6	6	9	8	38	24	11	9	12	6	7	3	2	1	4	3
1998	26	15.4	21.7	71	57	27	108	74	11	7	4	2	19	17	15	13	14	8	12	5	7	5	5	5
1998	27	13.9	19	82	34	20	120	78	8	5	7	3	28	26	17	11	20	12	8	4	4	2	7	3
1998	28	13.4	19.6	75	57	25	110	79	6	5	15	11	23	16	7	5	18	11	5	4	4	3	17	13
1998	29	13.5	19	73	59	28	107	75	10	8	25	24	19	17	8	7	19	8	6	4	2	0	3	0
