"","chrnr","epinr","jnr","matr","resultat","prvdato","region","ugenr"
"21",10107,2,"A2664408","772","NEG",1998-01-05,"R3",2
"25",10203,3,"A2664412","772","NEG",1998-01-05,"R3",2
"38",10619,2,"A2672434","772","POS",1998-06-11,"R5",24
"43",10199,6,"A2673668","772","POS",1998-07-01,"R5",27
"67",10419,1,"A2664392","772","NEG",1998-01-02,"R1",1
"71",10347,1,"A2664396","772","NEG",1998-01-02,"R2",1
"2087",10438,1,"A2624633","766","NEG",1998-04-23,"R3",17
"2254",10121,10,"A2624281","766","NEG",1998-02-09,"R8",7
"2384",10143,2,"A2775817","772","NEG",1999-12-16,"R3",103
"2388",10002,2,"A2775821","772","NEG",1999-12-13,"R5",103
"2392",10306,4,"A2775826","772","NEG",1999-12-14,"R3",103
"2403",10196,1,"A2775809","772","NEG",1999-12-15,"R3",103
"2407",10165,3,"A2775751","772","NEG",1999-12-15,"R5",103
"2411",10398,1,"A2775785","772","NEG",1999-12-16,"R1",103
"2415",10075,1,"A2775789","772","NEG",1999-12-15,"R5",103
"2419",10146,2,"A2775795","772","NEG",1999-12-13,"R3",103
"2423",10211,6,"A2775800","772","NEG",1999-12-16,"R1",103
"2427",10083,1,"A2775805","772","NEG",1999-12-14,"R2",103
"2432",10171,4,"A2775610","772","NEG",1999-12-13,"R5",103
"2436",10125,1,"A2775618","772","NEG",1999-12-10,"R5",102
"2440",10306,7,"A2775622","772","NEG",1999-12-13,"R3",103
"2444",10437,1,"A2775629","772","NEG",1999-12-10,"R3",102
"2449",10529,2,"A2775639","772","NEG",1999-12-10,"R7",102
"2453",10224,1,"A2775643","772","NEG",1999-12-10,"R5",102
"2457",10210,5,"A2775453","772","NEG",1999-12-07,NA,102
"2462",10091,2,"A2775462","772","NEG",1999-12-08,"R3",102
"2466",10240,1,"A2775469","772","NEG",1999-12-08,"R4",102
"2470",10177,1,"A2775549","772","NEG",1999-12-07,NA,102
"2474",10138,1,"A2775594","772","NEG",1999-12-09,NA,102
"2478",10404,5,"A2775602","772","NEG",1999-12-08,"R1",102
"2482",10195,5,"A2775241","772","NEG",1999-12-03,NA,101
"2486",10231,2,"A2775249","772","NEG",1999-12-03,"R7",101
"2492",10441,1,"A2775423","772","NEG",1999-12-07,"R3",102
"2496",10381,1,"A2775435","772","NEG",1999-12-09,"R1",102
"2500",10449,1,"A2775440","772","NEG",1999-12-08,"R5",102
"2504",10553,5,"A2775446","772","NEG",1999-12-07,"R1",102
"2509",10324,4,"A2775195","772","NEG",1999-12-03,"R8",101
