"","Total","Positive"
"1",3,1
"2",16,6
"3",15,5
"4",25,10
"5",27,10
"6",29,11
"7",25,4
"8",22,9
"9",25,9
"10",27,13
"11",24,10
"12",28,8
"13",26,3
"14",27,4
"15",10,3
"16",24,8
"17",34,15
"18",6,2
"19",25,12
"20",45,14
"21",31,9
"22",28,12
"23",22,9
"24",26,13
"25",30,21
"26",27,17
"27",29,19
"28",24,15
"29",29,23
"30",24,14
"31",26,12
"32",25,24
"33",26,16
"34",23,19
"35",21,13
"36",29,15
"37",23,13
"38",29,20
"39",22,15
"40",35,19
"41",26,13
"42",27,15
"43",30,10
"44",24,9
"45",26,9
"46",35,15
"47",35,14
"48",33,10
"49",30,10
"50",27,9
"51",25,8
"52",16,6
"53",23,8
"54",34,13
"55",30,9
"56",29,10
"57",32,10
"58",31,8
"59",27,9
"60",26,9
"61",26,9
"62",33,9
"63",31,4
"64",27,7
"65",36,12
"66",21,3
"67",25,5
"68",34,10
"69",30,4
"70",26,5
"71",32,11
"72",21,6
"73",24,6
"74",27,11
"75",33,15
"76",29,15
"77",30,14
"78",28,13
"79",31,20
"80",26,16
"81",28,18
"82",23,15
"83",36,29
"84",23,15
"85",32,21
"86",29,23
"87",27,24
"88",27,21
"89",25,18
"90",28,16
"91",34,22
"92",29,21
"93",30,20
"94",29,17
"95",27,15
"96",32,15
"97",30,13
"98",31,8
"99",33,10
"100",25,7
"101",33,10
"102",26,10
"103",31,11
"104",24,7
"105",25,9
"106",34,10
"107",29,12
"108",34,9
"109",30,5
"110",27,9
"111",32,9
"112",25,6
"113",34,8
"114",28,6
"115",32,8
"116",27,9
"117",28,11
"118",26,8
"119",37,8
"120",30,2
"121",20,3
"122",28,9
"123",29,5
"124",31,5
"125",24,8
"126",31,8
"127",30,13
"128",23,10
"129",30,21
"130",26,11
"131",31,16
"132",27,14
"133",31,20
"134",29,11
"135",31,11
"136",33,19
"137",26,17
"138",28,17
"139",29,15
"140",31,16
"141",29,17
"142",26,13
"143",28,12
"144",35,18
"145",28,13
"146",25,11
"147",33,12
"148",29,17
"149",28,5
"150",26,4
"151",26,8
"152",35,15
"153",33,14
"154",30,5
"155",29,15
"156",25,8
"157",18,4
"158",17,2
"159",31,9
"160",40,11
"161",31,9
"162",29,8
"163",29,11
"164",30,7
"165",27,6
"166",22,3
"167",31,11
"168",26,4
"169",33,10
"170",28,4
"171",30,5
"172",19,3
"173",20,2
"174",33,6
"175",20,4
"176",25,3
"177",30,7
"178",27,9
"179",31,10
"180",14,6
"181",33,9
"182",31,16
"183",30,7
"184",29,14
"185",39,24
"186",23,18
"187",38,29
"188",28,23
"189",27,24
"190",24,18
"191",23,18
"192",37,31
"193",29,23
"194",28,20
"195",36,30
"196",30,17
"197",28,17
"198",33,16
"199",40,20
"200",31,13
"201",48,20
"202",66,17
"203",88,32
"204",100,28
"205",94,28
"206",82,29
"207",78,20
"208",57,21
"209",21,5
"210",25,2
"211",31,9
"212",29,12
"213",29,10
"214",32,6
"215",32,8
"216",32,13
"217",28,10
"218",33,11
"219",35,8
"220",33,9
"221",29,7
"222",19,4
"223",27,5
"224",31,12
"225",28,2
"226",25,2
"227",26,5
"228",25,5
"229",32,7
"230",26,5
"231",26,7
"232",31,11
"233",27,17
"234",31,20
"235",25,12
"236",35,21
"237",33,20
"238",34,25
"239",30,21
"240",33,23
"241",25,20
"242",34,24
"243",26,19
"244",29,21
"245",33,24
"246",30,26
"247",34,24
"248",33,23
"249",30,15
"250",32,19
"251",29,19
"252",24,13
"253",33,17
"254",28,9
"255",32,12
"256",26,8
"257",29,7
"258",23,6
"259",29,9
"260",28,6
"261",6,1
"262",18,3
"263",17,7
"264",24,4
"265",17,2
"266",20,4
"267",19,2
"268",20,3
"269",20,4
"270",16,5
"271",15,5
"272",18,3
"273",18,3
"274",15,2
"275",16,2
"276",16,4
"277",11,3
"278",16,3
"279",9,2
"280",12,3
"281",12,1
"282",13,2
"283",7,0
"284",11,0
"285",13,4
"286",14,10
"287",15,13
"288",13,9
"289",16,15
"290",15,9
"291",14,13
"292",14,13
"293",18,14
"294",14,10
"295",15,13
"296",17,10
"297",14,8
"298",14,10
"299",14,10
"300",13,12
"301",17,11
"302",13,5
"303",15,2
"304",13,4
"305",16,6
"306",16,11
"307",11,4
"308",16,7
"309",13,4
"310",13,5
"311",7,1
"312",16,5
"313",12,3
"314",5,0
"315",12,5
"316",16,7
"317",13,2
"318",13,3
"319",17,3
"320",13,6
"321",15,7
"322",15,5
"323",13,2
"324",13,1
"325",15,1
"326",17,3
"327",13,2
"328",7,1
"329",12,2
"330",16,2
"331",12,0
"332",14,1
"333",16,0
"334",10,0
"335",14,4
"336",12,7
"337",5,2
"338",15,8
"339",16,4
"340",15,7
"341",15,7
"342",16,7
"343",13,2
"344",16,6
"345",16,7
"346",14,9
"347",14,12
"348",10,8
"349",18,11
"350",12,10
"351",15,9
"352",14,6
"353",13,6
"354",14,6
"355",11,3
"356",16,4
"357",15,8
"358",14,4
"359",12,1
"360",16,2
"361",12,3
"362",14,2
"363",19,5
"364",14,2
"365",9,2
"366",8,0
"367",15,2
"368",14,2
"369",15,4
"370",14,1
"371",14,3
"372",14,1
"373",14,5
"374",13,1
"375",12,4
"376",15,2
"377",12,2
"378",14,1
"379",12,3
"380",13,2
"381",12,2
"382",13,0
"383",14,2
"384",11,1
"385",13,2
"386",20,0
"387",12,3
"388",14,3
"389",16,2
"390",16,10
"391",13,6
"392",16,5
"393",14,6
"394",14,7
"395",14,11
"396",14,7
"397",14,9
"398",14,10
"399",15,4
"400",16,7
"401",12,3
"402",15,14
"403",17,13
"404",12,4
"405",14,5
"406",17,11
"407",16,4
"408",14,6
"409",12,3
"410",14,5
"411",16,4
"412",13,4
"413",16,1
"414",13,0
"415",11,0
"416",16,4
"417",11,5
"418",10,1
"419",14,1
"420",11,2
"421",24,2
"422",19,6
"423",17,2
"424",15,3
"425",13,2
"426",15,1
"427",29,8
"428",23,1
"429",24,5
"430",22,3
"431",18,1
"432",18,3
"433",16,2
"434",15,0
"435",21,1
"436",20,1
"437",20,4
"438",24,2
"439",16,0
"440",19,5
"441",17,2
"442",17,1
"443",23,5
"444",19,5
"445",19,8
"446",18,11
"447",17,8
"448",15,14
"449",19,14
"450",18,13
"451",17,10
"452",21,15
"453",22,16
"454",19,13
"455",19,9
"456",18,10
"457",22,11
"458",20,8
"459",18,11
"460",20,10
"461",20,4
"462",18,3
"463",16,7
"464",21,5
"465",21,3
"466",18,8
"467",14,3
"468",14,2
"469",13,7
"470",4,3
"471",9,3
"472",11,1
"473",13,4
"474",14,1
"475",12,4
"476",15,6
"477",14,3
"478",14,1
"479",21,3
"480",12,5
"481",13,2
"482",13,1
"483",10,1
"484",10,1
"485",7,1
"486",13,1
"487",14,1
"488",9,2
"489",13,5
"490",11,2
"491",11,1
"492",13,5
"493",10,1
"494",15,2
"495",13,11
"496",14,4
"497",13,5
"498",10,6
"499",8,4
"500",15,9
"501",13,6
"502",10,6
"503",13,7
"504",19,9
"505",20,12
"506",10,2
"507",16,5
"508",11,3
"509",14,4
"510",23,10
"511",16,4
"512",14,4
"513",14,8
"514",16,3
"515",18,4
"516",17,1
"517",17,4
"518",17,1
"519",17,5
"520",14,0
"521",13,0
"522",4,1
"523",8,1
"524",16,2
"525",16,3
"526",14,1
"527",17,5
"528",12,1
"529",14,3
"530",16,2
"531",12,2
"532",12,1
"533",12,0
"534",8,1
"535",11,0
"536",19,5
"537",11,2
